Calendar_day,JD,phase,lBF,sigma_lBF,delta_lBF,sigma_delta_lBF,dif_lBF_weighted
2026-09-11,2461295.3283117577,0.879,-5.61,0.17,0.041,0.244,3.0189300417387964e-20
2026-10-02,2461316.30453085,0.283,-5.6,0.162,0.051,0.238,3.760794475961574e-21
2026-09-25,2461309.3121584062,0.148,-5.635,0.172,0.016,0.246,2.880646435978446e-21
2026-09-21,2461305.316673683,0.071,-5.644,0.176,0.007,0.248,1.9344417713098128e-21
2026-10-05,2461319.3013917417,0.34,-5.62,0.171,0.031,0.245,1.4372745338326076e-21
2026-10-26,2461340.2824199437,0.744,-5.639,0.185,0.012,0.255,1.3274378187715171e-25
2026-10-29,2461343.280228573,0.801,-5.644,0.172,0.007,0.246,0.0
2026-10-22,2461336.2855661735,0.667,-5.656,0.186,-0.005,0.255,-1.6447162458584246e-24
2026-10-19,2461333.288084682,0.609,-5.695,0.181,-0.044,0.251,-6.019773514994299e-23
2026-10-16,2461330.2907309914,0.552,-5.686,0.179,-0.035,0.25,-1.3824369819581533e-22
2026-10-12,2461326.294441539,0.475,-5.689,0.174,-0.038,0.246,-4.358112395421622e-22
2026-10-09,2461323.297354152,0.417,-5.675,0.187,-0.024,0.256,-5.194704401005276e-22
2026-09-28,2461312.308837241,0.206,-5.685,0.177,-0.035,0.249,-4.3965796558057964e-21
2026-09-18,2461302.320123162,0.014,-5.664,0.177,-0.013,0.249,-4.885536348593501e-21
2026-09-14,2461298.3247853215,0.937,-5.714,0.171,-0.063,0.245,-3.540452713569452e-20
